rule_id,injected,overwritten,failed_self_validation,total,failure_reason
SD1039,1027,0,0,1027,
SD1040,872,0,0,872,
SD0022,803,0,0,803,
SD0023,661,0,0,661,
SD0021,546,0,0,546,
SD1041,502,0,0,502,
SD0014,178,0,0,178,
SD1273,178,0,0,178,
SD1276,174,0,0,174,
SD0035,148,0,0,148,
SD1135,77,0,0,77,
SD1352,77,0,0,77,
SD0041,75,0,0,75,
SD0042,50,0,0,50,
SD1047,50,0,0,50,
SD1247,50,0,0,50,
SD1279,50,0,0,50,
SD0082,24,0,3,27,no DS row for USUBJID GB001-ASTHMA-201-SITE001-0049 | no DS row for USUBJID GB001-ASTHMA-201-SITE001-0127 | no DS row for USUBJID GB001-ASTHMA-201-SITE001-0145
SD1205,27,0,0,27,
SD1207,27,0,0,27,
SD1446,25,0,1,26,no DS row for USUBJID GB001-ASTHMA-201-SITE001-0133
SD1249,9,0,2,11,guard no longer holds: EXTRT == PLACEBO
